sample,min,q25,median,q75,max,mean,sd,mean_correlation,corr_z,outlier
GSM329407,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856076,0.19803235,0.8440028737957467,0.9151628520244091,False
GSM329408,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560856,0.19803275,0.795092230784759,-1.2245527436467076,False
GSM329409,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856074,0.19803245,0.849257084649316,1.145021144907641,False
GSM329410,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560808,0.19803213,0.7673755693783836,-2.4370858247970473,False
GSM329411,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856077,0.19803287,0.7207233676023177,-4.478000389960687,False
GSM329412,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856077,0.19803227,0.8145902374109776,-0.3715647988092962,False
GSM329413,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560886,0.1980324,0.8341994618735401,0.48628864204885774,False
GSM329414,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560865,0.1980322,0.8222752648203477,-0.03536449579354428,False
GSM329415,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856072,0.19803262,0.8533159728327376,1.322587126716577,False
GSM329416,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560925,0.19803153,0.8391133358981767,0.7012580687095569,False
GSM329417,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560683,0.19803213,0.8283126070798917,0.22875379408967284,False
GSM329418,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856083,0.19803214,0.8292153592101292,0.26824689197555734,False
GSM329419,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856081,0.19803242,0.8431769391812327,0.8790303240737309,False
GSM329420,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560784,0.19803226,0.831667315563119,0.3755137141929323,False
GSM329421,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560838,0.19803235,0.8387746245341474,0.6864403124211819,False
GSM329422,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560778,0.19803259,0.8248368584357156,0.07669867637417661,False
GSM329423,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560844,0.19803225,0.8194899763458589,-0.15721374619019207,False
GSM329424,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856092,0.19803242,0.8284051120980606,0.2328006521530436,False
GSM329425,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856089,0.19803265,0.8372771238910088,0.6209284875218173,False
GSM329426,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856072,0.19803207,0.8289867499804843,0.25824582259939327,False
GSM329427,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856071,0.19803247,0.8154416483323988,-0.3343177475595192,False
GSM329428,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856083,0.1980323,0.8308646860470756,0.34040072472276406,False
GSM329429,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856079,0.19803269,0.8180787211751535,-0.2189525521501029,False
GSM329430,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560773,0.19803207,0.7937104590020205,-1.2850017267549358,False
GSM329431,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.285608,0.19803189,0.8329330708978628,0.430887274287958,False
GSM329432,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560898,0.19803168,0.8017661182155489,-0.9325872297971648,False
GSM329433,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856088,0.19803225,0.8356890682631776,0.5514551135385619,False
GSM329434,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560835,0.19803217,0.7928292744625421,-1.3235512976808916,False
GSM329435,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560853,0.198032,0.7953680856557136,-1.2124847982428655,False
GSM329436,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560844,0.1980321,0.8358760862509867,0.5596366724090196,False
GSM329437,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560856,0.19803263,0.8250797441368448,0.0873243048811433,False
GSM329438,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560743,0.19803274,0.8273665329650542,0.18736547012664975,False
GSM329439,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856094,0.19803232,0.8277742168911414,0.20520059968234022,False
GSM329440,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560862,0.19803227,0.8321369617308718,0.3960595334200909,False
GSM329441,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856104,0.19803186,0.8276215179882062,0.19852041304118342,False
GSM329442,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560725,0.19803235,0.8452825156653838,0.9711439125212262,False
GSM329443,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560832,0.19803213,0.8427914603536444,0.8621666108118451,False
GSM329444,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560874,0.19803268,0.8396044365093959,0.7227424649918379,False
GSM329445,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856084,0.19803259,0.8068043634075039,-0.7121768825110033,False
GSM329446,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560975,0.19803219,0.8226191972353305,-0.020318331873145135,False
GSM329447,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560796,0.1980327,0.822752534460542,-0.014485169135856952,False
GSM329448,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856081,0.1980321,0.8289319240408739,0.25584732789947123,False
GSM329449,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856096,0.19803286,0.8135144461103627,-0.4186279180387002,False
GSM329450,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856088,0.19803281,0.8301786780168665,0.31038962712455126,False
GSM329451,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560823,0.19803233,0.8233359673292496,0.011038527371679551,False
GSM329452,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560862,0.1980327,0.8158466481244132,-0.3166000420077438,False
GSM329453,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856079,0.19803225,0.8329606486962111,0.4320937324653086,False
GSM329454,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856081,0.19803192,0.7913633982227256,-1.3876796357801175,False
GSM329455,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856071,0.1980326,0.7993064403042871,-1.0401918504494074,False
GSM329456,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.285608,0.19803257,0.8226713172172747,-0.018038215903558117,False
GSM329457,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856085,0.19803146,0.7974640807249016,-1.120790372205902,False
GSM329458,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560743,0.19803172,0.7940637687388032,-1.269545328978145,False
GSM329459,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856077,0.1980324,0.851228405299381,1.2312613838279314,False
GSM329460,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856095,0.19803247,0.823442095687877,0.015681371753154313,False
GSM329461,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560853,0.19803184,0.846407626851226,1.0203646506470696,False
GSM329462,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560823,0.19803211,0.8427708792154406,0.8612662386294258,False
GSM329463,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560665,0.19803214,0.8121829111922824,-0.47687916674457304,False
GSM329464,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856087,0.19803213,0.8337490623546076,0.466584814505101,False
GSM329465,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560814,0.19803226,0.832328779749876,0.4044510813844409,False
GSM329466,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560805,0.19803242,0.8440488136027746,0.9171726011405211,False
GSM329467,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560778,0.19803262,0.808778877988827,-0.6257969172631984,False
GSM329468,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560844,0.19803198,0.8392848639251426,0.7087619813919371,False
GSM329469,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560725,0.19803225,0.828844743850506,0.25203341743990354,False
GSM329470,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560814,0.19803178,0.8371655540656183,0.6160475928801183,False
GSM329471,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560823,0.19803278,0.8212815591559857,-0.07883657828210625,False
GSM329472,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856073,0.19803211,0.82233801088077,-0.03261951605524486,False
GSM329473,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560883,0.19803248,0.796694574407213,-1.1544543064247959,False
GSM329474,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560722,0.19803195,0.8242275812514986,0.050044357131985975,False
GSM329475,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560808,0.19803275,0.8313769135816073,0.36280936989071344,False
GSM329476,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560898,0.19803181,0.8260876932723613,0.1314195028204417,False
GSM329477,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560817,0.19803247,0.8235726554572633,0.02139302789843268,False
GSM329478,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856083,0.19803281,0.8162517503567568,-0.29887785495344527,False
GSM329479,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560844,0.19803247,0.8001942103036075,-1.0013541824905536,False
