sample,min,q25,median,q75,max,mean,sd,mean_correlation,corr_z,outlier
GSM329754,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560895,0.19803287,0.6962292282611461,-5.5495563688725245,True
GSM329821,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560722,0.19803253,0.7028333223284969,-5.260644136252413,True
GSM329918,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560728,0.19803248,0.6780554350810385,-6.344613360685979,True
GSM330192,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560826,0.1980322,0.7036485501018866,-5.2249800052297575,True
GSM330219,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560796,0.19803211,0.7064980631863852,-5.100321092330151,True
GSM331124,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560773,0.19803242,0.7002581690681979,-5.373300508221746,True
GSM331173,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560916,0.19803208,0.6862332813390878,-5.986853492891605,True
GSM331189,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560734,0.19803278,0.6036723006716735,-9.598685336694642,True
GSM331322,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560856,0.19803248,0.6450562464157581,-7.7882435050644085,True
GSM331425,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560787,0.19803256,0.6849756176707552,-6.041873063266822,True
GSM331642,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560707,0.19803236,0.6796382908169039,-6.275367468683132,True
GSM331691,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560835,0.1980322,0.6925288853086622,-5.711436913419502,True
