sample,hclust_cluster,kmeans_cluster,cluster_consensus
GSM330344,3,3,0.9642764329910278
GSM330345,3,3,0.9609231352806091
GSM330346,3,3,0.9645897746086121
GSM330347,3,3,0.9621904492378235
GSM330348,3,3,0.9609635472297668
GSM330349,3,3,0.9679535627365112
GSM330350,3,3,0.9632765650749207
GSM330351,3,3,0.9610207080841064
GSM330352,3,3,0.9588706493377686
GSM330353,3,3,0.9643170237541199
GSM330354,3,3,0.9685055613517761
GSM330355,3,3,0.9593988656997681
GSM330356,3,3,0.9628282785415649
GSM330357,3,3,0.9649444818496704
GSM330358,3,3,0.8981640934944153
GSM330359,3,3,0.9606254696846008
GSM330360,3,3,0.9639430046081543
GSM330361,3,3,0.9624496698379517
GSM330362,3,3,0.9654269218444824
GSM330363,3,3,0.9637000560760498
GSM330364,3,3,0.9622025489807129
GSM330365,3,3,0.9619765877723694
GSM330366,3,3,0.9627814292907715
