k,pac
2,0.47108755852720946
3,0.1328107635409645
4,0.1026207436827051
5,0.09010275282843556
6,0.15939805789866823
7,0.18640164696022882
8,0.16375184463189346
9,0.1407167191969247
10,0.1270568784273716
11,0.12958561824773634
12,0.1373731530907832
