sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,hclust_cluster,kmeans_cluster,cluster_consensus
GSM329407,-7.405360759066231,-10.91618832198988,-32.860936754089416,5.414368878734848,5.029629624808213,-3.9070297592872927,22.71755010763605,-0.285135337973172,8.860334409400185,-2.996225794408939,3,2,0.4748035073280334
GSM329408,-21.007321346005657,14.53747858605799,-16.622700584813597,4.638118880455808,-21.272807093345573,-20.97262513676672,-4.623774324716516,-14.142672557654338,22.206686245952117,5.702145478579665,3,3,0.4829641878604889
GSM329409,-7.700632052474474,-4.8598011018517955,11.41424616308813,13.047909336785777,-4.439079606205612,-1.0802228101735694,3.5026844950729856,-4.771005893434708,14.920747877828553,2.019265154368651,3,3,0.4647217392921448
GSM329410,-19.03942191405221,3.8729714224226233,-15.571573411104085,7.038964171652147,-20.363821459363916,-15.337024369506658,-0.17915121305158993,-17.06746581269048,15.273856909084909,-1.7581583427167293,3,3,0.5059067606925964
GSM329411,22.887371837012346,-23.437880623036175,-1.5404570018441315,14.637950825523324,-0.5665392384255177,-0.3048939799684235,8.79620228788864,0.3740320126848907,4.879569621604275,-6.596900261486331,5,4,0.9321972131729126
GSM329412,9.319316445300284,-16.101327846892623,5.283556688650743,14.468738001100105,-5.309194608891875,-3.449891500106388,11.629856171838933,-9.729766962415514,6.481431145435517,-14.262171094789243,3,4,0.2713764607906341
GSM329413,17.58430617513886,-28.599975274073337,10.894435781888491,6.108084971907451,12.774629792888293,25.360239367049118,13.433216515817607,6.472165458687284,10.312706039202682,6.623375148877764,5,4,0.932646632194519
GSM329414,3.493648367027047,-4.206422332047162,-10.91509313977051,11.890091670040674,-9.259096789543413,-17.722045359943287,9.558320672429307,-17.20680545722649,5.113459486000605,10.08831439263938,3,4,0.3699305057525635
GSM329415,-1.544841480940277,-17.558879258340873,14.499487749045638,5.927188367793944,5.954277481901871,16.476816844150147,-1.0314690684460655,-7.923485425200292,8.72197838939837,6.62498621663366,3,1,0.4178728461265564
GSM329416,10.863862316557714,-23.797936877550157,1.5090325033347605,2.4041159590153045,0.42469158246012567,7.415398220023723,25.104721324319662,5.510922273636629,2.079610123002942,-9.358539955351885,5,4,0.9358456134796144
GSM329417,-12.962377964857414,-6.463462997091049,-22.047489516593657,3.9926707797899783,-3.4839089141079564,-11.988709183166629,16.268819841026435,-3.8757452543450177,12.32136066423878,1.4319421876848932,3,2,0.4788126051425934
GSM329418,-21.457363259452137,2.067646750116924,-15.32369654759426,-0.7981672962311458,-1.9940021866829993,11.024263455940371,0.38147068755889585,-7.572195152914917,14.863273597049298,-13.94594766448208,3,3,0.4230223596096039
GSM329419,25.135578720089963,-24.390016460719753,17.579475791555268,11.599915574122488,3.220546719183546,22.518063157318522,1.7002691174328013,-6.017730905957908,0.3182980264947643,-3.8158719383758424,5,4,0.928165078163147
GSM329420,-5.744986945102881,13.632438238613092,27.460164866559367,3.911633353133734,6.291537502780186,6.860726533165182,-0.06036899295217951,-4.551414896705975,15.694109763875874,-2.5437627308540964,3,3,0.962422490119934
GSM329421,-5.623774356920602,23.336676918622715,9.937103310016395,-7.351617916717433,16.492933300862926,-5.754452651288179,-3.2013518319505585,-15.781203262908104,12.168706264057917,-8.783665551769138,3,3,0.9620938301086426
GSM329422,-9.863565768125785,40.57221990482742,-7.747885581862156,-7.799962027829804,6.70848552387053,-7.316021164169077,-14.400275218427629,-14.662657251455414,24.45342732819498,5.6871751723533395,3,3,0.9613178372383118
GSM329423,-5.07338405211076,3.3591262723282367,35.06132698700569,-2.656323748387687,14.096498230018089,7.033698342151415,1.1507571663958784,-8.721157972630309,11.267399429970071,-4.665908287349333,3,3,0.9648164510726928
GSM329424,-9.498904517321067,30.252497879407013,11.156784386643245,-14.893937934503152,12.974387517284969,-0.6013817771818887,-5.965156642922019,-6.8499085192584275,21.038645818036727,10.468404344820305,3,3,0.9647167325019836
GSM329425,-18.330439062542812,41.21877040733175,-5.188635933813252,-5.925413842271189,5.873083945663049,-9.112106260631448,1.5002709637139378,-8.378492540450454,21.572235603259397,-1.894237691380561,3,3,0.9627422094345092
GSM329426,3.9749880518312244,24.312589770136714,1.796350416269972,6.01973557240154,5.749532701076436,-21.891399770644327,1.4015872848392728,-10.02829295791099,14.984613547721924,2.185127126222497,3,3,0.9647046327590942
GSM329427,4.883551071137078,30.189306550599152,-1.4868960269312848,-3.7168616075235694,7.4247683830065805,-4.462118048134004,-6.769524565360322,-25.433491753242826,13.875520261938224,-7.701181257198789,3,3,0.9580853581428528
GSM329428,-2.9129682585568983,28.05773455071748,0.4886479019904333,-4.551628414547064,11.30965607135567,-25.68712135960784,8.476613961726743,-12.356345702415823,15.475465718438869,-1.919221532470245,3,3,0.9625861048698424
GSM329429,-14.442945086154868,42.937818909858294,-16.6082707436459,-12.57701445393373,6.932785228036802,-7.37454474986016,-7.887245711060012,-5.381917379440802,25.254194191684828,0.7444425660879431,3,3,0.9631962180137634
GSM329430,-11.431551962339071,24.974075782148123,10.014798774781777,-14.215342552156361,10.34084624648829,-14.693639734204915,-4.347959637245464,-24.67489877239965,10.684028190603613,-8.22461069205195,3,3,0.964000165462494
GSM329431,-13.955136485619983,40.51745854904569,6.630995570854937,-1.726730965521147,12.43432577967866,-9.530034466442954,-5.706271440448413,-17.11587634281887,17.246350130462094,2.3070256873270303,3,3,0.960779905319214
GSM329432,-16.10696265792881,33.123996471787976,33.36615618189147,-16.27201019861737,14.818406639861157,-4.509783217719991,-13.543393800471403,-5.893680501932709,23.93045596399241,8.068569384634344,3,3,0.959080934524536
