gene,representative_probe,n_probes_for_gene,mean_expression
TIA1,201448_at,7,0.5717971
TTLL5,214672_at,7,0.45829308
KLHDC4,221219_s_at,7,0.44447365
TOR1AIP1,212408_at,7,0.69646186
ZMYM2,202778_s_at,7,0.66885024
ZMYM6,227594_at,7,0.43308267
SOX6,228214_at,7,0.27877066
KIAA1217,237167_at,7,0.26272976
ANK1,240363_at,7,0.39293784
THADA,54632_at,7,0.48243773
PMS2P1,215667_x_at,7,0.5888082
MAST4,225613_at,7,0.44088998
RAB3IP,223471_at,7,0.4077196
ACTR2,200728_at,7,0.75792485
FUT6,211465_x_at,7,0.3781965
SCAF11,213850_s_at,7,0.6842618
N4BP2L2,202258_s_at,7,0.6888339
APBB2,212970_at,7,0.31716165
EHD4,209536_s_at,7,0.4864853
LRCH3,214739_at,7,0.41825986
ELK4,225159_s_at,7,0.5612099
NAP1L1,213864_s_at,7,0.8125948
TPSAB1,216474_x_at,7,0.32695538
CELF1,221743_at,7,0.7347795
CELF2,202157_s_at,7,0.78927654
POU2F2,227749_at,7,0.4629654
TTC3,208073_x_at,7,0.707056
SLC38A10,212890_at,7,0.5428945
G3BP1,225007_at,7,0.6225182
CASP2,226032_at,7,0.678611
IL6ST,212195_at,7,0.60259205
EFCAB14,201778_s_at,7,0.621425
EIF1,211956_s_at,7,0.8938817
ETNK1,225290_at,7,0.51515126
LPP,202822_at,7,0.55174154
ARID1B,225181_at,7,0.54018897
GM2A,212737_at,7,0.5991916
EFCAB6,233600_at,7,0.1647185
TPGS2,212055_at,7,0.5451444
TMEM67,1563646_a_at,7,0.27819932
FOXN3,222494_at,7,0.6676468
RUFY2,219957_at,7,0.49439692
RUFY3,227802_at,7,0.46064118
SRC,1558211_s_at,7,0.21928892
EEF1A1,213614_x_at,7,0.9140216
GAB1,225998_at,7,0.4409674
MAP3K2,226979_at,7,0.68175244
MAP3K20,225665_at,7,0.45288113
RBM33,226732_at,7,0.63188547
UBE2B,202333_s_at,7,0.6850398
TTBK2,213922_at,7,0.3760714
NFIA,224975_at,7,0.2653225
ESS2,32032_at,7,0.5598638
NIN,225921_at,7,0.6230531
RUNX1T1,216832_at,7,0.23950171
ARRB1,43511_s_at,7,0.46396178
ZBTB10,228562_at,7,0.5924171
CLN6,1567080_s_at,7,0.38901433
CDK13,232266_x_at,7,0.6697337
MBNL1,201153_s_at,7,0.76320624
UBA6,222602_at,7,0.5610683
RBM15,219286_s_at,7,0.6858783
DYNC1H1,211928_at,7,0.6201276
PTGR3,1554239_s_at,7,0.5030085
PRLR,243755_at,7,0.1834117
NR6A1,227496_at,7,0.26125684
SERBP1,210466_s_at,7,0.7781643
XIST,221728_x_at,7,0.4064952
ATP6V0E1,214150_x_at,7,0.72429496
RRBP1,201204_s_at,7,0.5332135
RREB1,203704_s_at,7,0.6375048
ATXN3,235240_at,7,0.47253436
XIAP,228363_at,7,0.5682778
RBMS3,206767_at,7,0.22499023
RBM25,212033_at,7,0.6954902
MAPK1,224621_at,7,0.66467535
TCP11L2,1559413_at,7,0.3745364
CAND1,207483_s_at,7,0.5762371
CAMSAP1,212711_at,7,0.44888753
FBXO32,225803_at,7,0.32386246
MAP4,212566_at,7,0.6132596
NSD3,222544_s_at,7,0.7147083
ST3GAL3,1555181_a_at,7,0.3400871
SLAIN2,224844_at,7,0.5461376
KALRN,227750_at,7,0.2610515
NUDT3,212608_s_at,7,0.6471607
NUDT4,212181_s_at,7,0.6999144
AKT2,225471_s_at,7,0.5382245
AKT3,212607_at,7,0.35456058
WWC1,213085_s_at,7,0.18619905
RPAIN,228183_s_at,7,0.59840876
DNAJC21,238337_s_at,7,0.5833897
RC3H2,225813_at,7,0.53700006
TBX3,225544_at,7,0.14463015
LMF1,46142_at,7,0.38418514
WNK1,211992_at,7,0.6187773
STK4,225364_at,7,0.69802386
DNASE1,1558546_at,7,0.37957427
CDK6,224847_at,7,0.63720226
JRK,216309_x_at,7,0.43541774
DMAC2L,213995_at,7,0.5470408
BBIP1,228993_s_at,7,0.56096095
OBSL1,212775_at,7,0.30337304
BCL2L11,1553096_s_at,7,0.5564976
HDGFL3,216693_x_at,7,0.36313757
BBX,232008_s_at,7,0.566449
HCG18,232975_at,7,0.43774235
SMARCA2,206542_s_at,7,0.5699094
HIF3A,1556069_s_at,7,0.18314925
CA12,210735_s_at,7,0.2338187
PHF20L1,227523_s_at,7,0.4765553
CYP2C9,216025_x_at,7,0.2684283
CYLD,221903_s_at,7,0.5900601
UGGT2,235749_at,7,0.19797598
PIK3C3,204297_at,7,0.5515436
DLGAP1,210750_s_at,7,0.1667134
DLG1,202515_at,7,0.5679632
FGFR1,222164_at,7,0.47848532
FGFR1OP2,233898_s_at,7,0.5508869
METTL15,238773_at,7,0.35141712
PVR,1556582_at,7,0.3692358
PRDM11,229687_s_at,7,0.27978566
RNF130,217865_at,7,0.6692365
