gene,representative_probe,n_probes_for_gene,mean_expression
PLXNA4,232317_at,4,0.15538497
PLXNA3,203623_at,4,0.27008322
CSF1,209716_at,4,0.4107003
CSE1L,201112_s_at,4,0.6406347
RASA4,212706_at,4,0.51816976
IL17RA,229101_at,4,0.5689696
IL1RL1,242809_at,4,0.2671957
RAPGEF5,204681_s_at,4,0.26469037
SHLD1,243507_s_at,4,0.35430148
ZNF652,225266_at,4,0.5087357
ZNF641,226509_at,4,0.41722083
MAPKAP1,217808_s_at,4,0.44079867
CC2D1A,58994_at,4,0.4208116
TFG,217839_at,4,0.6374599
CBARP,231019_x_at,4,0.14420882
CBX3,200037_s_at,4,0.77992666
PMCHL1,224419_x_at,4,0.22139299
CCBE1,242324_x_at,4,0.26690295
ERVH-6,1555743_s_at,4,0.39473557
NFASC,230242_at,4,0.24316102
ARL4C,202207_at,4,0.6041899
NETO1,1552736_a_at,4,0.21439096
NECTIN2,203149_at,4,0.3745829
NECTIN1,225211_at,4,0.36944017
NEGR1,229461_x_at,4,0.27847448
NEDD4L,241396_at,4,0.3459826
NELFCD,225865_x_at,4,0.63623357
PLXNC1,213241_at,4,0.5038785
THAP6,230169_at,4,0.3450152
RAPH1,225188_at,4,0.1507541
RAPGEF6,230078_at,4,0.61310697
NEU3,235474_at,4,0.45140666
SAMD4A,212845_at,4,0.25828922
SPIN3,1555883_s_at,4,0.27516875
SPIDR,212523_s_at,4,0.34247985
EFCAB2,223608_at,4,0.4030786
EEPD1,1569640_s_at,4,0.32219422
GRK5,204396_s_at,4,0.44624996
SALL3,1553411_s_at,4,0.15587765
SPEN,201997_s_at,4,0.63300943
RAP2B,213923_at,4,0.7013975
RAP1GDS1,209444_at,4,0.5527641
RAP1A,202362_at,4,0.7221824
IL5RA,211516_at,4,0.1639715
GLUL,215001_s_at,4,0.7706043
SLC35D2,213083_at,4,0.47161928
SIAH1,202981_x_at,4,0.6412693
FBXO42,47773_at,4,0.45753902
TTLL11,228172_at,4,0.2638342
CCDC13,1554023_s_at,4,0.30458695
CBX2,240084_at,4,0.34176436
PMP22,210139_s_at,4,0.2655905
LIN7A,227929_at,4,0.31907967
POLR1B,220113_x_at,4,0.45117185
POFUT2,209578_s_at,4,0.479498
CC2D2A,234936_s_at,4,0.25852886
THOC2,222122_s_at,4,0.62600386
RANBP10,53987_at,4,0.4727489
FBXW7,229419_at,4,0.5699922
RANBP3,202640_s_at,4,0.48173207
TUBA1B,211058_x_at,4,0.8484579
FBXW10B,208280_at,4,0.15138002
MAPK14,202530_at,4,0.6044802
MFF,222832_s_at,4,0.66561466
ADAM17,213532_at,4,0.6006364
EEF1D,214394_x_at,4,0.8492532
GRK4,208365_s_at,4,0.23358066
GRK3,228771_at,4,0.49174517
GRSF1,201520_s_at,4,0.60230935
SAMD4B,229871_at,4,0.5260825
ARPC5L,220966_x_at,4,0.70501757
ARPC5,211963_s_at,4,0.7133404
ESPN,242327_x_at,4,0.2852206
ANGPT2,236034_at,4,0.18401857
LRP1,200785_s_at,4,0.23511262
LRIG2,205953_at,4,0.4231734
RAD52,205647_at,4,0.33502373
THSD7A,230008_at,4,0.21666946
RAD18,238670_at,4,0.32874605
LILRB3,210784_x_at,4,0.47519094
LINC00032,1559293_x_at,4,0.24529031
CREBBP,202160_at,4,0.67497426
CREB5,229228_at,4,0.2824553
THUMPD3-AS1,232052_at,4,0.4457759
THUMPD3,223804_s_at,4,0.51794565
THRAP3,222439_s_at,4,0.6879765
RAD51B,210255_at,4,0.28860196
ING5,228287_at,4,0.43419272
ING3,205070_at,4,0.5493174
RAD23B,201222_s_at,4,0.70175785
CCDC181,1555112_a_at,4,0.16809629
TTC7A,224912_at,4,0.52853316
RAC1,208641_s_at,4,0.759061
TTL,224896_s_at,4,0.4495858
ESD,215096_s_at,4,0.72997767
ESCO2,235588_at,4,0.30453897
GMEB1,235233_s_at,4,0.49659246
EIF1AX,201019_s_at,4,0.6817665
SPATA6,220299_at,4,0.21167716
GRK6,210981_s_at,4,0.6141677
NDFIP2,224801_at,4,0.31991467
SPG11,203513_at,4,0.62508965
SAP30,204900_x_at,4,0.5731525
ARID1A,218917_s_at,4,0.68163705
ARID4B,221230_s_at,4,0.66191775
ZDHHC18,212860_at,4,0.48978242
LIMCH1,232457_at,4,0.22022857
CCDC149,226139_at,4,0.24708438
INTS10,229632_s_at,4,0.5862461
TIMM17A,215171_s_at,4,0.663215
CP,228143_at,4,0.22163291
RAB4B,228521_s_at,4,0.5505431
INKA2,220476_s_at,4,0.21072201
ING1,208415_x_at,4,0.5731058
INF2,218144_s_at,4,0.44338125
LILRA5,215838_at,4,0.34151787
LILRA2,207857_at,4,0.6122405
POM121L1P,1553900_s_at,4,0.19568092
TTC28,215146_s_at,4,0.34869877
CPT1A,203633_at,4,0.6437209
SIAE,224391_s_at,4,0.3299648
TIAM2,227866_at,4,0.27519706
TIAL1,202406_s_at,4,0.70641387
INPP4B,235046_at,4,0.2828655
ZNF71,226514_at,4,0.25107902
ZNF765,1558943_x_at,4,0.45934325
ZDHHC14,219247_s_at,4,0.24444988
ZCCHC2,219062_s_at,4,0.5442244
SPATS2L,222154_s_at,4,0.46178567
SPATS2,222593_s_at,4,0.4857585
EFNA5,214036_at,4,0.22145237
EHBP1L1,221755_at,4,0.48348078
EGLN1,223046_at,4,0.5596078
ARHGAP26,205068_s_at,4,0.40388212
ARHGEF10,216620_s_at,4,0.3778444
ARHGDIA,211716_x_at,4,0.7035473
ZER1,202452_at,4,0.38275468
EIF4G3,201935_s_at,4,0.4826224
ACTN2,203864_s_at,4,0.23311076
SLC38A1,224579_at,4,0.69402647
TIMP3,201149_s_at,4,0.23166561
TLE3,212770_at,4,0.49576622
INVS,210114_at,4,0.40819195
TTC22,235651_at,4,0.18724544
CCDC80,225242_s_at,4,0.15120684
POLR3E,218016_s_at,4,0.5381966
LHX9,1560253_at,4,0.11482558
TJP2,202085_at,4,0.4503936
TIRAP,1552360_a_at,4,0.30070814
TIPRL,1554351_a_at,4,0.5039162
CPEB4,224831_at,4,0.5466172
CPEB3,205773_at,4,0.28163013
IPO9,217885_at,4,0.53394824
SILC1,1553797_a_at,4,0.11448681
SLC33A1,203164_at,4,0.46202073
ZNF7,205089_at,4,0.43043742
IQCK,213392_at,4,0.29021794
CCHCR1,37424_at,4,0.3953743
PPARD,37152_at,4,0.4761005
PPIE,210502_s_at,4,0.46158636
SIK2,223430_at,4,0.40277225
FSD1L,242807_at,4,0.3014876
RAB6A,201047_x_at,4,0.65022
TSR3,213105_s_at,4,0.4516492
TSR1,218155_x_at,4,0.55408466
CCDC93,209688_s_at,4,0.4746882
POU2F1,206789_s_at,4,0.47495586
TTC23,219838_at,4,0.18468772
CCDC71L,229521_at,4,0.5343152
POSTN,210809_s_at,4,0.13967437
POU6F1,205878_at,4,0.267213
PPARGC1B,232181_at,4,0.31330973
IREB2,225892_at,4,0.592749
COX15,219547_at,4,0.4805242
RAB3GAP1,213531_s_at,4,0.570572
RAB3C,241977_s_at,4,0.18257084
IPO7,200993_at,4,0.6211591
IPO5P1,227234_at,4,0.3650666
EIF3K,212716_s_at,4,0.7871722
ZDHHC3,218078_s_at,4,0.47942212
NDUFA2,209224_s_at,4,0.71833795
NDOR1,227739_at,4,0.38857424
GNAL,206355_at,4,0.16701943
ZNF3,212684_at,4,0.43873483
MRPS31,212603_at,4,0.523026
LONP2,221834_at,4,0.5095849
LPCAT2,239598_s_at,4,0.41316742
AMOTL1,228840_at,4,0.26414323
MAVS,226495_at,4,0.5320412
SIRPA,202897_at,4,0.42421946
SNHG7,229050_s_at,4,0.6453971
SNRNP200,200058_s_at,4,0.7416307
SEL1L3,212314_at,4,0.5156574
ZDHHC2,222731_at,4,0.63728625
ARHGEF2,209435_s_at,4,0.68134373
EIF4E3,225940_at,4,0.48246714
EIF4E2,213571_s_at,4,0.5936732
SAMM50,201570_at,4,0.5719115
SPATA13,225564_at,4,0.55209416
EIF3C,200647_x_at,4,0.7676119
SIPA1L3,213600_at,4,0.4125223
COX5B,213735_s_at,4,0.80122405
COX4I1,202698_x_at,4,0.83461446
INTS6,218819_at,4,0.48120412
PPP1R11,201500_s_at,4,0.657834
PPP1CB,228222_at,4,0.6785853
RAB21,203885_at,4,0.55347896
TK2,204276_at,4,0.38193583
TLR4,221060_s_at,4,0.32345927
CCDC82,223300_s_at,4,0.48272008
CCN4,235821_at,4,0.14729178
TSGA10,220623_s_at,4,0.21016853
IQSEC3,213834_at,4,0.20755479
IQGAP3,229538_s_at,4,0.3289906
CCNL1,220046_s_at,4,0.7824377
LCOR,228454_at,4,0.6062863
FUBP1,214093_s_at,4,0.66775846
ACTN1,208636_at,4,0.6101218
MAST2,215903_s_at,4,0.43368945
ACSM2A,214069_at,4,0.12639777
COPA,208684_at,4,0.54837006
TLK2,212997_s_at,4,0.5223605
ARHGAP32,203431_s_at,4,0.27267337
NCOA1,209107_x_at,4,0.59595335
NCKIPSD,218697_at,4,0.41119826
NCK1,211063_s_at,4,0.55375296
GNAO1,231951_at,4,0.35915318
ARHGAP42,223595_at,4,0.21857572
ARGLU1,218067_s_at,4,0.78357166
ARG1,206177_s_at,4,0.5055012
ARFGEF3,228051_at,4,0.0863656
NBR1,201384_s_at,4,0.51189476
NBPF14,226740_x_at,4,0.771598
NCR2,217045_x_at,4,0.3519669
IRF1-AS1,230405_at,4,0.5213557
PPIG,208993_s_at,4,0.63901305
CCSER2,209378_s_at,4,0.42282596
CCSAP,225904_at,4,0.5693832
TRO,211700_s_at,4,0.31248316
LATS2,227013_at,4,0.54706275
LATS1,227772_at,4,0.49907964
FERMT1,229545_at,4,0.3220841
FRMD8,227964_at,4,0.54833704
FSTL1,208310_s_at,4,0.5123157
MBD4,209579_s_at,4,0.63019127
SIN3A,238005_s_at,4,0.5607764
TRNAU1AP,218977_s_at,4,0.41624874
TRMT9B,1558541_at,4,0.13132088
TRPS1,222651_s_at,4,0.33393452
PPFIA1,202066_at,4,0.5119807
PPM1F,37384_at,4,0.58347553
TSC22D1,215111_s_at,4,0.65614545
QSER1,226265_at,4,0.4498103
TRPM6,221102_s_at,4,0.16242625
CCND2,200953_s_at,4,0.6628763
TMBIM4,223892_s_at,4,0.71534085
ARHGAP29,203910_at,4,0.2377531
ZFAS1,226227_x_at,4,0.83953106
NBPF1,212854_x_at,4,0.7016994
NCOA2,212867_at,4,0.6234512
ARHGAP22,1560821_at,4,0.19368865
ZFP36L2,201368_at,4,0.8221216
ZFP36L1,211962_s_at,4,0.66080815
GPR89B,223531_x_at,4,0.49928358
SAT1,210592_s_at,4,0.80828977
CCNT2,213743_at,4,0.5192093
LARP1,212137_at,4,0.7127226
LARGE-AS1,1563039_at,4,0.10193781
LAPTM4B,214039_s_at,4,0.4581213
PPP1R2,202166_s_at,4,0.6497121
PPP2R2A,202313_at,4,0.62072223
CD22,38521_at,4,0.43786684
COMMD5,223198_x_at,4,0.43276846
COMMD10,222637_at,4,0.4569305
ITGA9,227297_at,4,0.32249928
ITGA8,214265_at,4,0.20574436
ITFG2,226295_at,4,0.42052305
ISYNA1,222240_s_at,4,0.4180011
ISY1,223429_x_at,4,0.5212775
LAMP1,201553_s_at,4,0.80753875
LAMP2,200821_at,4,0.66847193
LARS1,217810_x_at,4,0.6298683
LAMA2,205116_at,4,0.19841017
TRPC4,224220_x_at,4,0.09956183
COL3A1,215076_s_at,4,0.18623592
SART3,209128_s_at,4,0.52521205
GPSM2,221922_at,4,0.37255648
GRB10,210999_s_at,4,0.4235788
GRAPL,239074_at,4,0.23153114
ZFP28,231943_at,4,0.29360682
ARHGAP1,202117_at,4,0.70425665
GNG4,1566513_a_at,4,0.24935758
GNG2,224964_s_at,4,0.6900168
ANAPC16,224664_at,4,0.73553413
MS4A1,228592_at,4,0.54709303
ZNF286A,227077_at,4,0.44100213
ZNF326,227680_at,4,0.6261191
ANKFY1,224900_at,4,0.49150506
TRIP11,210760_x_at,4,0.3555069
CD300LG,1555656_at,4,0.22326495
CNTNAP4,232388_at,4,0.2063454
CNTNAP3,223796_at,4,0.19871955
CNTNAP2,219301_s_at,4,0.22241858
SLC2A5,204430_s_at,4,0.5009788
SLC2A4RG,218494_s_at,4,0.5209821
SLC2A3,202499_s_at,4,0.6647942
ACP1,201630_s_at,4,0.7219662
ZNF777,1553172_at,4,0.399299
ACSL6,211207_s_at,4,0.31200254
FEZ2,215000_s_at,4,0.54559886
TMCO3,226050_at,4,0.5290908
TMCO1,208716_s_at,4,0.5943875
QRSL1,218949_s_at,4,0.5098065
RAB1A,208724_s_at,4,0.79365134
ITGB6,239517_at,4,0.22089677
ITGB5,201125_s_at,4,0.28365433
IVD,225311_at,4,0.4780478
CD8B,207979_s_at,4,0.29428998
TRIM33,210266_s_at,4,0.6067366
SKP1,200718_s_at,4,0.8288931
METTL14,235552_at,4,0.48586667
COL14A1,216865_at,4,0.18905139
PPP2R5E,203338_at,4,0.61301816
PPP1R9A,221088_s_at,4,0.19394681
PPP4R1L,223733_s_at,4,0.2567884
KTN1,200915_x_at,4,0.72111136
KSR1,235252_at,4,0.47333494
CNTN1,211203_s_at,4,0.19359362
ITGA4,213416_at,4,0.6336753
ITGA2B,206493_at,4,0.34666026
COA1,209445_x_at,4,0.47827616
CNTROB,228633_s_at,4,0.40074417
ZFP64,218968_s_at,4,0.4486732
ARAP2,213618_at,4,0.521516
AR,226197_at,4,0.21915382
AQR,212584_at,4,0.52450997
FRZB,203697_at,4,0.16892254
FRY,204072_s_at,4,0.4196707
CD40,35150_at,4,0.4574092
PPP6R2,202791_s_at,4,0.48343837
TMED3,208837_at,4,0.5108262
KYNU,217388_s_at,4,0.40828472
KY,1564254_at,4,0.35037392
CNST,1554661_s_at,4,0.51475906
CNR1,1560225_at,4,0.20102406
TMEM106B,226529_at,4,0.55817205
PWRN1,1569819_at,4,0.093513794
ITIH4,37201_at,4,0.37550563
CNOT2,222182_s_at,4,0.6982758
TMEM108,234818_at,4,0.168438
CDADC1,233647_s_at,4,0.5762966
CDC42EP3,225685_at,4,0.55472887
TRIM3,213885_at,4,0.28606558
METTL9,217868_s_at,4,0.76993644
MBD2,202484_s_at,4,0.70876366
ANK2,202920_at,4,0.1630286
ELAVL4,241424_at,4,0.2095096
ELAVL1,201726_at,4,0.66300124
ELMO2,55692_at,4,0.5710648
ELL2,226099_at,4,0.47740415
ARHGAP23,226638_at,4,0.3359542
ELP6,223277_at,4,0.45543733
SPART,212526_at,4,0.47506794
ELFN2,1561369_at,4,0.2738637
CDC27,217878_s_at,4,0.5856267
PPP6C,203529_at,4,0.7327555
PRDM16-DT,237108_x_at,4,0.21179041
CD99L2,223041_at,4,0.35665157
CNPY3,217931_at,4,0.6351989
CNPY2,202857_at,4,0.62884885
CNOT7,225053_at,4,0.73267245
ZFX,214678_x_at,4,0.4885126
NAMPT,217739_s_at,4,0.67355776
ARFGEF2,218098_at,4,0.63402385
ELOVL5,208788_at,4,0.7579533
GPRC5B,203631_s_at,4,0.18941073
SEL1L,202061_s_at,4,0.54017764
MYT1L,210016_at,4,0.1713782
ZFTRAF1,223421_at,4,0.39547503
ARF1,200065_s_at,4,0.79481184
PXK,225796_at,4,0.59815425
TMEM144,228624_at,4,0.23023623
TMEM135,208810_at,4,0.6578772
CMTM6,217947_at,4,0.77889776
CDH26,233391_at,4,0.21884659
CDH23,232846_s_at,4,0.1577903
PRCP,201494_at,4,0.55715233
PRDX2,39729_at,4,0.69543374
TRIM36,1565814_at,4,0.14657238
CNNM2,1554522_at,4,0.3893282
CNTLN,239989_at,4,0.2825998
PWWP3A,223347_at,4,0.41459513
ITPR3,201189_s_at,4,0.38782609
ITPR2,202660_at,4,0.46295938
ITPR1,203710_at,4,0.5058911
JAK3,227677_at,4,0.59257126
PRICKLE1,232811_x_at,4,0.3770711
PREX2,220732_at,4,0.12760544
PREPL,212215_at,4,0.45884076
JADE1,218517_at,4,0.541216
TMEM106A,1552302_at,4,0.36720368
APOL6,1557116_at,4,0.44161323
NAAA,227135_at,4,0.52827936
NAA30,225679_at,4,0.42679763
SCD,200832_s_at,4,0.4147852
SP1,224754_at,4,0.57318926
SPAG11B,1553582_a_at,4,0.1850673
ZKSCAN3,235840_at,4,0.28191623
ZKSCAN1,225221_at,4,0.5450102
ZGRF1,228859_at,4,0.3651174
ZMIZ2,54970_at,4,0.5916618
SCAND2P,215670_s_at,4,0.32715246
LOXL2,202998_s_at,4,0.25387186
MRPS25,226848_at,4,0.48794365
ZNF800,227101_at,4,0.5737877
CMAHP,205518_s_at,4,0.45921165
CNBD2,235206_at,4,0.36662748
IVNS1ABP,206245_s_at,4,0.6210695
CLUHP3,219442_at,4,0.3822027
CLU,208792_s_at,4,0.3849853
PRKCE,226101_at,4,0.37025133
TRIM14,203147_s_at,4,0.5126315
TRIM10,221627_at,4,0.36460733
TRIM4,224159_x_at,4,0.52518016
TRIM24,213301_x_at,4,0.5256336
CDK1,203213_at,4,0.49446294
CDC5L,209056_s_at,4,0.62608194
CNKSR3,227481_at,4,0.2475672
PTPRG,244574_at,4,0.2384257
PTPRF,200636_s_at,4,0.1920026
TMEM161B,227861_at,4,0.47258475
TMEM151B,1564067_x_at,4,0.28414062
FGFR4,204579_at,4,0.230315
MBTPS2,226760_at,4,0.41080785
ZNF789,235231_at,4,0.42298064
EMC3,217882_at,4,0.6357367
SCARB2,224983_at,4,0.57211065
SCARB1,1552256_a_at,4,0.46299052
N4BP1,32069_at,4,0.5734475
SEC23IP,209175_at,4,0.41052747
GNL3L,205010_at,4,0.39728442
SEC22B,209206_at,4,0.5351499
ZNF280D,221213_s_at,4,0.41932654
ZNF277,218645_at,4,0.52678555
CDH4,220227_at,4,0.25793868
KRIT1,216713_at,4,0.41814893
PRKAR1A,200603_at,4,0.7142288
ANGPTL2,213004_at,4,0.25408566
SOX2,213721_at,4,0.20120336
ZFR,201857_at,4,0.70235157
ZIC1,234716_at,4,0.15584423
APPBP2,202629_at,4,0.4881677
APOOL,213282_at,4,0.4830442
GPR107,211979_at,4,0.43252814
GPR173,1556039_s_at,4,0.15427934
SCEL,1554921_a_at,4,0.10982353
SCD5,220232_at,4,0.43798348
SCML1,218793_s_at,4,0.29662248
KPNA6,212101_at,4,0.5619059
CMIP,224992_s_at,4,0.52167857
SLC25A29,225306_s_at,4,0.53955925
ACAN,207692_s_at,4,0.2463646
ACOT11,1555321_at,4,0.20894997
METTL17,223988_x_at,4,0.62784857
MYO7A,33197_at,4,0.23651814
EML2,204398_s_at,4,0.39653817
MYL4,210395_x_at,4,0.51131254
MYO19,225947_at,4,0.508952
EOLA1,214112_s_at,4,0.61192805
ENOSF1,204142_at,4,0.52660143
FHIP1A,242687_at,4,0.34775826
CLMN,213839_at,4,0.33396626
CLEC2D,233500_x_at,4,0.3823863
KAT6A,202423_at,4,0.6534748
CLTB,211043_s_at,4,0.53749233
CDH8,210518_at,4,0.19402099
METAP1D,227805_at,4,0.34100384
PTPN4,205171_at,4,0.45532623
PTPN22,236539_at,4,0.48380378
TRAPPC9,56829_at,4,0.46344566
CDK19,212899_at,4,0.53623164
KMT5A,228443_s_at,4,0.49684674
TMEM182,238867_at,4,0.20118788
CLK4,210346_s_at,4,0.6299259
CLSPN,243840_at,4,0.2570506
KANSL3,224318_s_at,4,0.5767072
KCMF1,217938_s_at,4,0.74000317
JUND,203752_s_at,4,0.8426565
JUN,201464_x_at,4,0.7640455
CDKAL1,214877_at,4,0.3010561
JMJD6,212723_at,4,0.6746427
CLOCK,227531_at,4,0.40954003
FNTB,225851_at,4,0.41981372
SLC25A42,226737_at,4,0.3651259
FOXK1,226715_at,4,0.510916
TMEM245,223008_s_at,4,0.5824362
TMEM242,222638_s_at,4,0.43121806
KCNB1,217637_at,4,0.21220526
PTP4A2,208616_s_at,4,0.8191476
PTN,209466_x_at,4,0.31599775
PTPRD,214043_at,4,0.19415088
PTPRB,217177_s_at,4,0.1630078
CDS1,226187_at,4,0.16456507
KNL1,228323_at,4,0.4480194
PROX1,242119_at,4,0.25911745
TMEM19,226860_at,4,0.44217303
KAZN,213478_at,4,0.27761728
KATNBL1,222745_s_at,4,0.50821775
CENPBD2P,232899_at,4,0.5322819
METTL16,226744_at,4,0.6246183
ABCG1,204567_s_at,4,0.44893074
MCF2,217004_s_at,4,0.16327491
MCOLN3,229797_at,4,0.23252735
MCM8,224320_s_at,4,0.41018358
FKBP4,200895_s_at,4,0.49231145
SOX5,238009_at,4,0.18517016
ZMYM5,215948_x_at,4,0.53645813
ZMYND11,202136_at,4,0.61597896
ENDOV,238402_s_at,4,0.36680532
ENTPD1,209473_at,4,0.4630553
MRTFB,218259_at,4,0.4229866
MRPS5,224333_s_at,4,0.5779571
ANKRD20A12P,1566147_a_at,4,0.2548193
SNRPA1,206055_s_at,4,0.72645056
PTPN1,202716_at,4,0.5377437
KLK2,1555545_at,4,0.3077266
KLK15,234495_at,4,0.14284968
SNX1,213364_s_at,4,0.5383183
ERGIC2,218135_at,4,0.5261327
ERGIC1,224576_at,4,0.6060659
ERG,213541_s_at,4,0.39665684
GPM6B,209167_at,4,0.2926037
ENPP1,205066_s_at,4,0.16085503
AP4S1,235647_at,4,0.45464042
AP4E1,228164_at,4,0.4491305
AOPEP,1559723_s_at,4,0.23355468
ZNF12,226015_at,4,0.5122524
ZNF117,207605_x_at,4,0.4634437
TRAFD1,35254_at,4,0.48058066
KLHL9,213233_s_at,4,0.56492734
KCND3,213832_at,4,0.16866484
TMEM37,1554483_at,4,0.2738078
FLI1,204236_at,4,0.61801887
TRA2B,200893_at,4,0.8129123
TRAPPC10,209412_at,4,0.5148054
KLHL29,229310_at,4,0.2187504
TMEM234,223656_s_at,4,0.35299128
CIZ1,205516_x_at,4,0.5246646
CLCN3,201734_at,4,0.52733314
CLCA2,206166_s_at,4,0.14565904
TPPP,230104_s_at,4,0.25209486
TRAF4,202871_at,4,0.45288754
TRAF3IP3,213888_s_at,4,0.59339666
KCNIP2,223727_at,4,0.28226438
PTGS1,205128_x_at,4,0.38586846
PTPN14,244533_at,4,0.24137637
MUC5AC,217187_at,4,0.25556028
MUC20,226622_at,4,0.23355967
MVK,36907_at,4,0.5085067
METAP2,209861_s_at,4,0.6625067
KCNQ1OT1,243435_at,4,0.2334575
TMEM43,217795_s_at,4,0.53067094
CENPN,219555_s_at,4,0.5088729
TPP2,203375_s_at,4,0.5856031
TPP1,200743_s_at,4,0.75016403
PRR14L,1558097_at,4,0.51871216
KLHL6,228167_at,4,0.48464984
CLDN18,214135_at,4,0.25501215
TMEM39A,222690_s_at,4,0.5066359
KCNJ12,232289_at,4,0.19698797
PTK2,208820_at,4,0.3658567
KCNK1,204679_at,4,0.18671963
FLCN,1552664_at,4,0.39466012
FOXK2,203064_s_at,4,0.51314634
FOLH1,217487_x_at,4,0.2307147
FILIP1,231945_at,4,0.22366779
FIGN,242828_at,4,0.18821472
ACAD10,219986_s_at,4,0.36557704
AP2A2,212159_x_at,4,0.50963306
AP2A1,223237_x_at,4,0.3310933
AP1S2,230264_s_at,4,0.68179196
EPC1,234969_s_at,4,0.69681835
EPB41L5,225855_at,4,0.24492456
EMP2,204975_at,4,0.21608587
ANKRD12,212286_at,4,0.5374389
GON4L,223555_at,4,0.4933294
MTUS1,212096_s_at,4,0.20509256
MTSS1,203037_s_at,4,0.5430222
KCNMA1,228414_at,4,0.15436722
TMOD3,223077_at,4,0.5513106
EPHA7,229288_at,4,0.16859557
SOCS3,227697_at,4,0.45593846
SCRN3,222849_s_at,4,0.40931222
GPD1,1563034_at,4,0.19139527
MTMR1,216095_x_at,4,0.6115576
SOCS1,210001_s_at,4,0.37247995
GP2,206681_x_at,4,0.16366877
GOSR1,204630_s_at,4,0.540964
TMEM59,200620_at,4,0.7456981
TMEM97,212282_at,4,0.475525
KCNMB4,219287_at,4,0.31949347
KCTD1,226245_at,4,0.31726855
PTCH1,209815_at,4,0.30231106
PTCD3,217895_at,4,0.55109715
ZNF252P,233399_x_at,4,0.4686981
KDM6A,203992_s_at,4,0.5327904
KDM4C,209984_at,4,0.5110048
TMPRSS2,205102_at,4,0.23858683
CHRNA4,206736_x_at,4,0.14523484
CFAP74,215788_at,4,0.2516506
TP53BP1,203050_at,4,0.47700536
TP53AIP1,223919_at,4,0.34125862
TPM2,204083_s_at,4,0.38062635
KLHL23,213610_s_at,4,0.29372793
KLHL20,204177_s_at,4,0.4090101
CERT1,226277_at,4,0.5422847
CERS6,212442_s_at,4,0.5236958
CEP57L1,1554019_s_at,4,0.25026911
CEP350,213165_at,4,0.6069251
CENPI,214804_at,4,0.23758951
CEP295,1569302_at,4,0.4711221
TMEM87A,212204_at,4,0.6489269
CHURC1,233268_s_at,4,0.62736475
KCNN3,231103_at,4,0.18499678
PRR5L,1555486_a_at,4,0.37637666
CHST12,218927_s_at,4,0.50936234
SCUBE3,230253_at,4,0.22205774
ANTXR2,225524_at,4,0.5170293
MTPAP,222794_x_at,4,0.6244604
MTMR7,221390_s_at,4,0.18501967
EPB41L4A,228256_s_at,4,0.23395261
MTCL2,215852_x_at,4,0.3522108
MTBP,1552518_s_at,4,0.18332453
MSR1,214770_at,4,0.14803962
MSH6,202911_at,4,0.6453949
ZNF254,242602_x_at,4,0.51644975
PRSS23,202458_at,4,0.1678392
KLF3,225133_at,4,0.548926
CFAP43,243896_at,4,0.07633529
CFAP221,231043_at,4,0.24253477
SNTB1,226438_at,4,0.43855238
SNX3,210648_x_at,4,0.80005234
ANXA2,201590_x_at,4,0.6789322
ANKS6,226586_at,4,0.31479433
ANKRD28,226025_at,4,0.63501483
ZNF226,219603_s_at,4,0.44458348
SDF4,232032_x_at,4,0.69493383
MTRF1L,225215_s_at,4,0.48974073
KHSRP,204372_s_at,4,0.66953737
CHROMR,228714_at,4,0.34658414
TMTC1,226931_at,4,0.15310967
MET,211599_x_at,4,0.28341404
CHEK1,238075_at,4,0.4246063
TNKS2,218228_s_at,4,0.64053714
TNKS,202561_at,4,0.408499
TNIK,211828_s_at,4,0.25975803
ABHD6,45288_at,4,0.2321078
ABHD5,213935_at,4,0.41218662
SLC24A1,206081_at,4,0.30789667
FNIP2,225924_at,4,0.4698808
SLC12A2-DT,235628_x_at,4,0.35055622
FKBP1A,200709_at,4,0.7016802
TMT1A,207761_s_at,4,0.6793592
TNFRSF10C,234644_x_at,4,0.27265084
TNFRSF10B,209295_at,4,0.5682468
PSME3IP1,222460_s_at,4,0.5737098
PSME3,209852_x_at,4,0.5732376
TOX3,230745_s_at,4,0.18104531
KIF13A,235072_s_at,4,0.4071605
SLC23A2,209236_at,4,0.44643453
ABCC4,203196_at,4,0.387648
FMNL3,227844_at,4,0.29250386
MED1,203497_at,4,0.5517703
FMN2,230946_at,4,0.16381149
ABCA1,203505_at,4,0.50877553
FNDC3A,202304_at,4,0.55149966
PSG3,215821_x_at,4,0.22546522
MEF2A,212535_at,4,0.58856976
MEF2C,209199_s_at,4,0.61496454
ABCB5,1569072_s_at,4,0.17797175
KIF9,231319_x_at,4,0.45225808
KDSR,202419_at,4,0.5270259
KIR3DL2,207314_x_at,4,0.20593473
PRUNE1,209586_s_at,4,0.45545653
MTMR3,202197_at,4,0.56963545
LOC389906,1569629_x_at,4,0.37352479
LOC389831,225046_at,4,0.29761937
PSMB2,200039_s_at,4,0.68088835
PSMD4,200882_s_at,4,0.69940305
KIF1B,225878_at,4,0.39399815
TOLLIP,217930_s_at,4,0.39287543
CFAP97,226254_s_at,4,0.5625767
CFAP68,222785_x_at,4,0.49850544
TNFSF13,209500_x_at,4,0.54878175
ZNF846,1569157_s_at,4,0.37328705
MELTF,235911_at,4,0.32301992
MED13,201987_at,4,0.63299555
MED12,211342_x_at,4,0.49830937
ZNF93,215758_x_at,4,0.48704255
CHD1L,212539_at,4,0.6506379
